breaks.thisRepN,breaks.thisTrialN,breaks.thisN,breaks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,init_vars.started,init_vars.stopped,general_instruction.started,continue_to_resting_T1.started,general_instruction.stopped,continue_to_resting_T1.keys,continue_to_resting_T1.rt,continue_to_resting_T1.duration,resting_state.started,resting_state.stopped,TUS.started,fix_cross_TUS.started,fix_cross_TUS.stopped,TUS.stopped,task_instruction.started,task_instruction_text.started,continue_to_task.started,go_to_task.started,task_instruction.stopped,go_to_task.keys,go_to_task.rt,go_to_task.duration,trial_baseline.started,fix_cross_baseline.started,trial_baseline.stopped,reward_size_cue.started,blank_text.started,reward_size_cue.stopped,decision_window.started,give_response.started,decision_window.stopped,rt_ms,sample_ind,likelihood,likelihoods,hold.started,blank_post_response.started,hold.stopped,reward_reveal.started,current_win_text.started,reward_reveal.stopped,reward,reward_size,reward_chance_endpoint,snr_db,blank_post_response.stopped,break_relax.started,break_relax.stopped,goodbye_screen.started,quit_exp.started,goodbye_screen.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,0.007450399920344353,0.007783000008203089,0.007815999910235405,0.024702099966816604,0.42595279996749014,e,0.3968954000156373,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,928305,001,2025-06-01_13h22.36.141,BFTUS_task,2023.2.3,59.98724672597118,2025-06-01 13h22.39.367760 +0200,
,,,,,,,,,,,,,,,,,,2.4254029999719933,3.4248637999407947,1.4280294999480247,1.4420936999376863,2.441287499968894,2.4253782000159845,3.4248773999279365,3.441008499939926,6.424340699915774,6.424340699915774,6.992482299916446,space,0.5649959999136627,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,928305,001,2025-06-01_13h22.36.141,BFTUS_task,2023.2.3,59.98724672597118,2025-06-01 13h22.39.367760 +0200,
0,0,0,0,0,0,0,0,7.057486400008202,,,,,,,,,,,,,,,,,,,,,,,,7.048235800000839,7.057486400008202,7.144342500017956,7.1446818999247625,7.157716499990784,7.209395200014114,7.2094164999434724,7.226007699966431,7.759658599970862,553.7639999529347,6,0.4213357521134864,"[0.5044475328955782, 0.4902590049425897, 0.4649204983634373, 0.46844968530352343, 0.4511361779426768, 0.4278228429425019, 0.4213357521134864, 0.41246252653492965, 0.40300516168742084]",7.759714499930851,7.774604299920611,7.791030599968508,7.791036700014956,7.807937999954447,7.908599599963054,False,3,0.4,34,,,,,,,928305,001,2025-06-01_13h22.36.141,BFTUS_task,2023.2.3,59.98724672597118,2025-06-01 13h22.39.367760 +0200,
0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,928305,001,2025-06-01_13h22.36.141,BFTUS_task,2023.2.3,59.98724672597118,2025-06-01 13h22.39.367760 +0200,
0,0,0,0,1,0,1,0,7.94088649994228,,,,,,,,,,,,,,,,,,,,,,,,7.9258229999104515,7.94088649994228,8.075436900020577,8.075549599947408,8.091120500001125,8.14209189999383,8.14210199995432,8.157711999956518,8.843961299979128,706.1826998833567,8,0.9812715188697531,"[0.506276674654167, 0.5471071387717725, 0.6346657878738182, 0.6728072156645457, 0.7450674772578869, 0.8285839204027609, 0.882990495272534, 0.9429577082919283, 0.9812715188697531]",8.844109099940397,8.858917000005022,8.876218699966557,8.876246799947694,8.891215099953115,8.992601400008425,True,1,1.0,34,,,,,,,928305,001,2025-06-01_13h22.36.141,BFTUS_task,2023.2.3,59.98724672597118,2025-06-01 13h22.39.367760 +0200,
0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,928305,001,2025-06-01_13h22.36.141,BFTUS_task,2023.2.3,59.98724672597118,2025-06-01 13h22.39.367760 +0200,
0,0,0,0,2,0,2,0,9.024143800023012,,,,,,,,,,,,,,,,,,,,,,,,9.01025920000393,9.024143800023012,9.142015399993397,9.142146599944681,9.158106099930592,9.208451199927367,9.208469799952582,9.225634299917147,9.725725999916904,522.5562999257818,7,0.24292947226903505,"[0.5096186832201409, 0.450944690925662, 0.43147178787962726, 0.38853489197858754, 0.34082419068691217, 0.30892835583810896, 0.27658159325532244, 0.24292947226903505, 0.2037229924748456]",9.725780099979602,9.741414899937809,9.757782400003634,9.75778799992986,9.775068899965845,9.858860099921003,False,3,0.2,34,,,,,,,928305,001,2025-06-01_13h22.36.141,BFTUS_task,2023.2.3,59.98724672597118,2025-06-01 13h22.39.367760 +0200,
0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,928305,001,2025-06-01_13h22.36.141,BFTUS_task,2023.2.3,59.98724672597118,2025-06-01 13h22.39.367760 +0200,
0,0,0,0,3,0,3,0,9.890797899919562,,,,,,,,,,,,,,,,,,,,,,,,9.876080099958926,9.890797899919562,10.00899160001427,10.009084800025448,10.024435199913569,10.07466739998199,10.074674999923445,10.091805399977602,10.459624300012365,389.2551999306306,5,0.683584166900377,"[0.48621804287531745, 0.5385467907513212, 0.5822488684489423, 0.6089217832116611, 0.6547708728494165, 0.683584166900377, 0.7340506875534216, 0.7696586788729797, 0.8101038485376337]",10.45968129998073,10.47462499991525,10.492068899911828,10.492088299943134,10.509091599960811,10.593650599941611,True,3,0.8,34,,,,,,,928305,001,2025-06-01_13h22.36.141,BFTUS_task,2023.2.3,59.98724672597118,2025-06-01 13h22.39.367760 +0200,
0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,928305,001,2025-06-01_13h22.36.141,BFTUS_task,2023.2.3,59.98724672597118,2025-06-01 13h22.39.367760 +0200,
0,0,0,0,4,0,4,0,10.624673399957828,,,,,,,,,,,,,,,,,,,,,,,,10.610891900025308,10.624673399957828,10.758425500011072,10.758521199924871,10.774468799936585,10.824388699955307,10.8244044999592,10.841035099932924,11.341955599957146,522.802299936302,7,0.06249930097288598,"[0.5063440618336755, 0.4319333714989349, 0.3799687103339941, 0.30940616756015116, 0.2561867209327059, 0.18840306008731642, 0.11603027883666273, 0.06249930097288598, 0.0009314626062040069]",11.342004099977203,11.357674799975939,11.37451150000561,11.374522099969909,11.3911977999378,11.476223399979062,False,2,0.0,34,,,,,,,928305,001,2025-06-01_13h22.36.141,BFTUS_task,2023.2.3,59.98724672597118,2025-06-01 13h22.39.367760 +0200,
0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,928305,001,2025-06-01_13h22.36.141,BFTUS_task,2023.2.3,59.98724672597118,2025-06-01 13h22.39.367760 +0200,
0,0,0,0,5,0,5,0,11.507576999953017,,,,,,,,,,,,,,,,,,,,,,,,11.492599299992435,11.507576999953017,11.628133099991828,11.628414699924178,11.641412199940532,11.693112900014967,11.693139299983159,11.707822699914686,12.159641699981876,470.2536999247968,7,0.4159430189909868,"[0.49420284440712237, 0.49281294317769697, 0.48533788782575227, 0.4474618188614725, 0.4427011869711895, 0.4438412426830345, 0.4230321687563823, 0.4159430189909868, 0.3928645558034959]",12.159704799996689,12.174773199949414,12.19189879996702,12.191907199914567,12.208362099947408,12.292080799932592,False,1,0.4,34,,,,,,,928305,001,2025-06-01_13h22.36.141,BFTUS_task,2023.2.3,59.98724672597118,2025-06-01 13h22.39.367760 +0200,
0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,928305,001,2025-06-01_13h22.36.141,BFTUS_task,2023.2.3,59.98724672597118,2025-06-01 13h22.39.367760 +0200,
